TITLE     = "Lower surface points for converging-diverging channel"
FROM https://turbase.cineca.it/init/routes/#/logging/view_dataset/39/tabmeta
VARIABLES = "X","Y"
3.20095277E+00 6.28378689E-01
3.20913935E+00 6.29784286E-01
3.21732593E+00 6.31159663E-01
3.22551250E+00 6.32505000E-01
3.23369908E+00 6.33820355E-01
3.24188566E+00 6.35105968E-01
3.25007224E+00 6.36361897E-01
3.25825882E+00 6.37588382E-01
3.26644540E+00 6.38785541E-01
3.27463198E+00 6.39953673E-01
3.28281856E+00 6.41093016E-01
3.29100513E+00 6.42203927E-01
3.29919171E+00 6.43286765E-01
3.30737829E+00 6.44341826E-01
3.31556487E+00 6.45369351E-01
3.32375145E+00 6.46369696E-01
3.33193803E+00 6.47343218E-01
3.34012461E+00 6.48290157E-01
3.34831119E+00 6.49210811E-01
3.35649776E+00 6.50105476E-01
3.36468434E+00 6.50974452E-01
3.37287092E+00 6.51817977E-01
3.38105750E+00 6.52636290E-01
3.38924408E+00 6.53429806E-01
3.39743066E+00 6.54198647E-01
3.40561724E+00 6.54943228E-01
3.41380382E+00 6.55663610E-01
3.42199039E+00 6.56359911E-01
3.43017697E+00 6.57032192E-01
3.43836355E+00 6.57680571E-01
3.44655013E+00 6.58305168E-01
3.45473671E+00 6.58905983E-01
3.46292329E+00 6.59483194E-01
3.47110987E+00 6.60036862E-01
3.47929645E+00 6.60567045E-01
3.48748302E+00 6.61073983E-01
3.49566960E+00 6.61557734E-01
3.50385618E+00 6.62018597E-01
3.51204276E+00 6.62456632E-01
3.52022934E+00 6.62872016E-01
3.52841592E+00 6.63264930E-01
3.53660250E+00 6.63635612E-01
3.54478908E+00 6.63984120E-01
3.55297565E+00 6.64310634E-01
3.56116223E+00 6.64615393E-01
3.56934881E+00 6.64898515E-01
3.57753539E+00 6.65160120E-01
3.58572197E+00 6.65400386E-01
3.59390855E+00 6.65619552E-01
3.60209513E+00 6.65817678E-01
3.61028171E+00 6.65995002E-01
3.61846828E+00 6.66151583E-01
3.62665486E+00 6.66287720E-01
3.63484144E+00 6.66403353E-01
3.64302802E+00 6.66498661E-01
3.65121460E+00 6.66573763E-01
3.65940118E+00 6.66628718E-01
3.66758776E+00 6.66663647E-01
3.67577434E+00 6.66678667E-01
3.68396091E+00 6.66673839E-01
3.69214749E+00 6.66649342E-01
3.70033407E+00 6.66605294E-01
3.70852065E+00 6.66541696E-01
3.71670723E+00 6.66458786E-01
3.72489381E+00 6.66356683E-01
3.73308039E+00 6.66235507E-01
3.74126697E+00 6.66095316E-01
3.74945354E+00 6.65936291E-01
3.75764012E+00 6.65758550E-01
3.76582670E+00 6.65562272E-01
3.77401328E+00 6.65347457E-01
3.78219986E+00 6.65114284E-01
3.79038644E+00 6.64862752E-01
3.79857302E+00 6.64593101E-01
3.80675960E+00 6.64305329E-01
3.81494617E+00 6.63999498E-01
3.82313275E+00 6.63675845E-01
3.83131933E+00 6.63334310E-01
3.83950591E+00 6.62975073E-01
3.84769249E+00 6.62598193E-01
3.85587907E+00 6.62203670E-01
3.86406565E+00 6.61791623E-01
3.87225223E+00 6.61361992E-01
3.88043880E+00 6.60914838E-01
3.88862538E+00 6.60450339E-01
3.89681196E+00 6.59968376E-01
3.90499854E+00 6.59469068E-01
3.91318512E+00 6.58952534E-01
3.92137170E+00 6.58418953E-01
3.92955828E+00 6.57868624E-01
3.93774486E+00 6.57301664E-01
3.94593143E+00 6.56718373E-01
3.95411801E+00 6.56118929E-01
3.96230459E+00 6.55503571E-01
3.97049117E+00 6.54872596E-01
3.97867775E+00 6.54226124E-01
3.98686433E+00 6.53564274E-01
3.99505091E+00 6.52886927E-01
4.00323772E+00 6.52193964E-01
4.01142406E+00 6.51485324E-01
4.01961088E+00 6.50760889E-01
4.02779722E+00 6.50020540E-01
4.03598404E+00 6.49264157E-01
4.04417038E+00 6.48491681E-01
4.05235720E+00 6.47702932E-01
4.06054354E+00 6.46898150E-01
4.06873035E+00 6.46077454E-01
4.07691669E+00 6.45241082E-01
4.08510351E+00 6.44389272E-01
4.09328985E+00 6.43522203E-01
4.10147667E+00 6.42640114E-01
4.10966301E+00 6.41743243E-01
4.11784983E+00 6.40831769E-01
4.12603617E+00 6.39905930E-01
4.13422298E+00 6.38965786E-01
4.14240932E+00 6.38011396E-01
4.15059614E+00 6.37042880E-01
4.15878248E+00 6.36060238E-01
4.16696930E+00 6.35063648E-01
4.17515564E+00 6.34053051E-01
4.18334246E+00 6.33028567E-01
4.19152880E+00 6.31990314E-01
4.19971561E+00 6.30938292E-01
4.20790195E+00 6.29872561E-01
4.21608877E+00 6.28793061E-01
4.22427511E+00 6.27699852E-01
4.23246193E+00 6.26592994E-01
4.24064827E+00 6.25472367E-01
4.24883509E+00 6.24338090E-01
4.25702143E+00 6.23190165E-01
4.26520824E+00 6.22028649E-01
4.27339458E+00 6.20853424E-01
4.28158140E+00 6.19664788E-01
4.28976774E+00 6.18462622E-01
4.29795456E+00 6.17247164E-01
4.30614090E+00 6.16018474E-01
4.31432772E+00 6.14776552E-01
4.32251406E+00 6.13521576E-01
4.33070087E+00 6.12253547E-01
4.33888721E+00 6.10972583E-01
4.34707403E+00 6.09678805E-01
4.35526037E+00 6.08372211E-01
4.36344719E+00 6.07052922E-01
4.37163353E+00 6.05720937E-01
4.37982035E+00 6.04376435E-01
4.38800669E+00 6.03019357E-01
4.39619350E+00 6.01649821E-01
4.40437984E+00 6.00267887E-01
4.41256666E+00 5.98873675E-01
4.42075300E+00 5.97467124E-01
4.42893982E+00 5.96048355E-01
4.43712616E+00 5.94617307E-01
4.44531298E+00 5.93174100E-01
4.45349932E+00 5.91718793E-01
4.46168613E+00 5.90251327E-01
4.46987247E+00 5.88771820E-01
4.47805929E+00 5.87280214E-01
4.48624563E+00 5.85776746E-01
4.49443245E+00 5.84261477E-01
4.50261879E+00 5.82734764E-01
4.51080561E+00 5.81196725E-01
4.51899195E+00 5.79647541E-01
4.52717876E+00 5.78087449E-01
4.53536510E+00 5.76516628E-01
4.54355192E+00 5.74935377E-01
4.55173826E+00 5.73343754E-01
4.55992508E+00 5.71741879E-01
4.56811142E+00 5.70129633E-01
4.57629824E+00 5.68507016E-01
4.58448458E+00 5.66873908E-01
4.59267139E+00 5.65230429E-01
4.60085773E+00 5.63576341E-01
4.60904455E+00 5.61911762E-01
4.61723089E+00 5.60236514E-01
4.62541771E+00 5.58550715E-01
4.63360405E+00 5.56854248E-01
4.64179087E+00 5.55147171E-01
4.64997721E+00 5.53429484E-01
4.65816402E+00 5.51701248E-01
4.66635036E+00 5.49962401E-01
4.67453718E+00 5.48213065E-01
4.68272352E+00 5.46453178E-01
4.69091034E+00 5.44682741E-01
4.69909668E+00 5.42902052E-01
4.70728350E+00 5.41111350E-01
4.71546984E+00 5.39311051E-01
4.72365665E+00 5.37501454E-01
4.73184299E+00 5.35682976E-01
4.74002981E+00 5.33855855E-01
4.74821615E+00 5.32020509E-01
4.75640297E+00 5.30177236E-01
4.76458931E+00 5.28326392E-01
4.77277613E+00 5.26467919E-01
4.78096247E+00 5.24601519E-01
4.78914928E+00 5.22727072E-01
4.79733562E+00 5.20844162E-01
4.80552244E+00 5.18952668E-01
4.81370878E+00 5.17052233E-01
4.82189560E+00 5.15142620E-01
4.83008194E+00 5.13223648E-01
4.83826876E+00 5.11295259E-01
4.84645510E+00 5.09357929E-01
4.85464191E+00 5.07412076E-01
4.86282825E+00 5.05458236E-01
4.87101507E+00 5.03496766E-01
4.87920141E+00 5.01528263E-01
4.88738823E+00 4.99553084E-01
4.89557457E+00 4.97571766E-01
4.90376139E+00 4.95584756E-01
4.91194773E+00 4.93592381E-01
4.92013454E+00 4.91594642E-01
4.92832088E+00 4.89591330E-01
4.93650770E+00 4.87582296E-01
4.94469404E+00 4.85567361E-01
4.95288086E+00 4.83546376E-01
4.96106720E+00 4.81519133E-01
4.96925402E+00 4.79485482E-01
4.97744036E+00 4.77445275E-01
4.98562717E+00 4.75398540E-01
4.99381351E+00 4.73345399E-01
5.00200033E+00 4.71285999E-01
5.01018667E+00 4.69220430E-01
5.01837349E+00 4.67148900E-01
5.02655983E+00 4.65071499E-01
5.03474665E+00 4.62988377E-01
5.04293299E+00 4.60899651E-01
5.05111980E+00 4.58805531E-01
5.05930614E+00 4.56706315E-01
5.06749296E+00 4.54602301E-01
5.07567930E+00 4.52493817E-01
5.08386612E+00 4.50381130E-01
5.09205246E+00 4.48264569E-01
5.10023928E+00 4.46144402E-01
5.10842562E+00 4.44020987E-01
5.11661243E+00 4.41894472E-01
5.12479877E+00 4.39764857E-01
5.13298559E+00 4.37632024E-01
5.14117193E+00 4.35495853E-01
5.14935875E+00 4.33356196E-01
5.15754509E+00 4.31212991E-01
5.16573191E+00 4.29066092E-01
5.17391825E+00 4.26915407E-01
5.18210506E+00 4.24760848E-01
5.19029140E+00 4.22602594E-01
5.19847822E+00 4.20440912E-01
5.20666456E+00 4.18276191E-01
5.21485138E+00 4.16108727E-01
5.22303772E+00 4.13938820E-01
5.23122454E+00 4.11766827E-01
5.23941088E+00 4.09593046E-01
5.24759769E+00 4.07417774E-01
5.25578403E+00 4.05241370E-01
5.26397085E+00 4.03063923E-01
5.27215719E+00 4.00885284E-01
5.28034401E+00 3.98705363E-01
5.28853035E+00 3.96524012E-01
5.29671717E+00 3.94341171E-01
5.30490351E+00 3.92156661E-01
5.31309032E+00 3.89970392E-01
5.32127666E+00 3.87782276E-01
5.32946348E+00 3.85592222E-01
5.33764982E+00 3.83400351E-01
5.34583664E+00 3.81206810E-01
5.35402298E+00 3.79011720E-01
5.36220980E+00 3.76815230E-01
5.37039614E+00 3.74617457E-01
5.37858295E+00 3.72418523E-01
5.38676929E+00 3.70218575E-01
5.39495611E+00 3.68017733E-01
5.40314245E+00 3.65816265E-01
5.41132927E+00 3.63614321E-01
5.41951561E+00 3.61412227E-01
5.42770243E+00 3.59210163E-01
5.43588877E+00 3.57008368E-01
5.44407558E+00 3.54807079E-01
5.45226192E+00 3.52606535E-01
5.46044874E+00 3.50407004E-01
5.46863508E+00 3.48208576E-01
5.47682190E+00 3.46011341E-01
5.48500824E+00 3.43815416E-01
5.49319506E+00 3.41620803E-01
5.50138140E+00 3.39427620E-01
5.50956821E+00 3.37235898E-01
5.51775455E+00 3.35045755E-01
5.52594137E+00 3.32857221E-01
5.53412771E+00 3.30670387E-01
5.54231453E+00 3.28485310E-01
5.55050087E+00 3.26302022E-01
5.55868769E+00 3.24120581E-01
5.56687450E+00 3.21941048E-01
5.57506084E+00 3.19763511E-01
5.58324766E+00 3.17587972E-01
5.59143400E+00 3.15414518E-01
5.59962082E+00 3.13243181E-01
5.60780716E+00 3.11073899E-01
5.61599398E+00 3.08906585E-01
5.62418032E+00 3.06741118E-01
5.63236713E+00 3.04577410E-01
5.64055347E+00 3.02415341E-01
5.64874029E+00 3.00254792E-01
5.65692663E+00 2.98095673E-01
5.66511345E+00 2.95937866E-01
5.67329979E+00 2.93781310E-01
5.68148661E+00 2.91626364E-01
5.68967295E+00 2.89473593E-01
5.69785976E+00 2.87323594E-01
5.70604610E+00 2.85176933E-01
5.71423292E+00 2.83034205E-01
5.72241926E+00 2.80895978E-01
5.73060608E+00 2.78762877E-01
5.73879242E+00 2.76635408E-01
5.74697924E+00 2.74513870E-01
5.75516558E+00 2.72397846E-01
5.76335239E+00 2.70286977E-01
5.77153873E+00 2.68180847E-01
5.77972555E+00 2.66079098E-01
5.78791189E+00 2.63981283E-01
5.79609871E+00 2.61887074E-01
5.80428505E+00 2.59796023E-01
5.81247187E+00 2.57707864E-01
5.82065821E+00 2.55622834E-01
5.82884502E+00 2.53541350E-01
5.83703136E+00 2.51463771E-01
5.84521818E+00 2.49390557E-01
5.85340452E+00 2.47322068E-01
5.86159134E+00 2.45258704E-01
5.86977768E+00 2.43200883E-01
5.87796450E+00 2.41148993E-01
5.88615084E+00 2.39103109E-01
5.89433765E+00 2.37063065E-01
5.90252399E+00 2.35028625E-01
5.91071081E+00 2.32999608E-01
5.91889715E+00 2.30975807E-01
5.92708397E+00 2.28957012E-01
5.93527031E+00 2.26943031E-01
5.94345713E+00 2.24933654E-01
5.95164347E+00 2.22928792E-01
5.95983028E+00 2.20928699E-01
5.96801662E+00 2.18933672E-01
5.97620344E+00 2.16944054E-01
5.98438978E+00 2.14960143E-01
5.99257660E+00 2.12982267E-01
6.00076294E+00 2.11010724E-01
6.00894976E+00 2.09045842E-01
6.01713610E+00 2.07087934E-01
6.02532291E+00 2.05137134E-01
6.03350925E+00 2.03193471E-01
6.04169607E+00 2.01256961E-01
6.04988241E+00 1.99327663E-01
6.05806923E+00 1.97405592E-01
6.06625557E+00 1.95490763E-01
6.07444239E+00 1.93583220E-01
6.08262873E+00 1.91682994E-01
6.09081554E+00 1.89790115E-01
6.09900188E+00 1.87904507E-01
6.10718870E+00 1.86026037E-01
6.11537504E+00 1.84154615E-01
6.12356186E+00 1.82290077E-01
6.13174820E+00 1.80432320E-01
6.13993502E+00 1.78581193E-01
6.14812136E+00 1.76736593E-01
6.15630817E+00 1.74898386E-01
6.16449451E+00 1.73066527E-01
6.17268133E+00 1.71241283E-01
6.18086767E+00 1.69422954E-01
6.18905449E+00 1.67611837E-01
6.19724083E+00 1.65808216E-01
